Gene	Direction
RP11-298A10.1	Positive
RPA1	Positive
SCN1B	Positive
SCRT1	Positive
SCRT2	Positive
SEMA6D	Positive
SEMA7A	Positive
SESN2	Positive
SETD7	Positive
SHD	Positive
SIX4	Positive
SKIDA1	Positive
SLC19A2	Positive
SLC25A25	Positive
SLC25A37	Positive
SLC25A5	Positive
SLC35A4	Positive
SLC38A1	Positive
SLC38A2	Positive
SLC39A14	Positive
SLC45A4	Positive
SLC4A8	Positive
SMCR8	Positive
SMG9	Positive
SNRK	Positive
SORL1	Positive
SPAG1	Positive
SRPRA	Positive
SRXN1	Positive
STAC2	Positive
STAMBPL1	Positive
STARD5	Positive
STAT4	Positive
STC2	Positive
STK11	Positive
STK26	Positive
STK38L	Positive
STRADA	Positive
STS	Positive
STX5	Positive
SUPT16H	Positive
TADA2B	Positive
TBC1D8	Positive
TCAF2	Positive
TDP2	Positive
TICAM1	Positive
TIGD3	Positive
TIGD5	Positive
TLE2	Positive
TMEM109	Positive
TMEM132E	Positive
TMEM200B	Positive
TMEM55A	Positive
TMEM81	Positive
TMOD1	Positive
TMPPE	Positive
TNIP1	Positive
TRAF7	Positive
TRIM25	Positive
TSC22D3	Positive
TTC39B	Positive
TTI1	Positive
UBAP1	Positive
UBE3B	Positive
UBXN10	Positive
UHRF1BP1	Positive
UPP1	Positive
USF2	Positive
USP28	Positive
USP45	Positive
VAMP1	Positive
WDR33	Positive
XKR6	Positive
ZADH2	Positive
ZBTB16	Positive
ZBTB21	Positive
ZBTB34	Positive
ZBTB38	Positive
ZBTB43	Positive
ZC3H7B	Positive
ZDHHC5	Positive
ZKSCAN5	Positive
ZNF304	Positive
ZNF324	Positive
ZNF398	Positive
ZNF574	Positive
ZNF597	Positive
ZNF641	Positive
ZNF740	Positive
ZNF805	Positive
ZNFX1	Positive
ZSWIM1	Positive
ZYX	Positive
ACTG1	AllGene
ADAMTS19	AllGene
AK7	AllGene
AMIGO2	AllGene
ANKRD50	AllGene
ANKRD6	AllGene
ARHGEF28	AllGene
ARMC10	AllGene
ARPC5	AllGene
ARPP19	AllGene
ATP2C2	AllGene
B3GNT2	AllGene
BHMT	AllGene
BRMS1L	AllGene
C10orf11	AllGene
C4orf50	AllGene
CACNA1H	AllGene
CACNA1S	AllGene
CARD11	AllGene
CARMIL3	AllGene
CASK	AllGene
CCBE1	AllGene
CCDC112	AllGene
CCDC90B	AllGene
CDC42SE2	AllGene
CHCHD6	AllGene
COG5	AllGene
CPEB2	AllGene
CPLX3	AllGene
CPNE6	AllGene
CPNE7	AllGene
CXADR	AllGene
CXXC4	AllGene
DENND2C	AllGene
DENR	AllGene
DNAJC25-GNG10	AllGene
DPYD	AllGene
DPYSL3	AllGene
DSEL	AllGene
DYDC2	AllGene
ENOX1	AllGene
ETNK2	AllGene
FAM65B	AllGene
FARP1	AllGene
FIBCD1	AllGene
FILIP1	AllGene
GABRA5	AllGene
GABRQ	AllGene
GALNT10	AllGene
GLT8D2	AllGene
GMFB	AllGene
GNB4	AllGene
GNG10	AllGene
GPM6A	AllGene
GPR160	AllGene
GRIN3A	AllGene
GRM3	AllGene
GRM8	AllGene
HINT3	AllGene
HRASLS	AllGene
HSBP1	AllGene
ISOC1	AllGene
KCNH7	AllGene
KCNK13	AllGene
KIRREL2	AllGene
L3MBTL4	AllGene
LINC01420	AllGene
LMO3	AllGene
LRP1B	AllGene
LRRC3	AllGene
LRRC7	AllGene
MAPK15	AllGene
MARCKS	AllGene
MEPE	AllGene
MFSD14A	AllGene
MMD	AllGene
MRPL23	AllGene
MSANTD3-TMEFF1	AllGene
MYO16	AllGene
NCAM2	AllGene
NELFE	AllGene
NKAIN4	AllGene
NMNAT1	AllGene
NPHS1	AllGene
NPY	AllGene
NPY1R	AllGene
NRAS	AllGene
NTSR1	AllGene
NUDT11	AllGene
PACRG	AllGene
PCDH10	AllGene
PCDH15	AllGene
PCDH20	AllGene
PCED1B	AllGene
PCYT1B	AllGene
PDGFC	AllGene
PDGFRA	AllGene
PGRMC1	AllGene
PI4K2B	AllGene
PLA2G12A	AllGene
PLPPR3	AllGene
PPP3R2	AllGene
PPP4R4	AllGene
PRMT2	AllGene
PROKR2	AllGene
PRR29	AllGene
PSENEN	AllGene
PTGER3	AllGene
PTPRA	AllGene
RAB40B	AllGene
RAP2B	AllGene
RASAL1	AllGene
RCN2	AllGene
RFK	AllGene
RILPL1	AllGene
RSPO3	AllGene
RSU1	AllGene
SCD5	AllGene
SCFD1	AllGene
SCN7A	AllGene
SCN9A	AllGene
SLC39A10	AllGene
SNCA	AllGene
SOX11	AllGene
SOX5	AllGene
SQLE	AllGene
SSTR1	AllGene
STUM	AllGene
STX12	AllGene
SUB1	AllGene
SUMO3	AllGene
SYT17	AllGene
TAF9B	AllGene
TBCA	AllGene
TERF1	AllGene
TEX15	AllGene
TINCR	AllGene
TKFC	AllGene
TLK1	AllGene
TMEFF1	AllGene
TMEFF2	AllGene
TMEM263	AllGene
TMSB10	AllGene
TNNT1	AllGene
TOX3	AllGene
TPM3	AllGene
TRABD2A	AllGene
TRAPPC6A	AllGene
TTC6	AllGene
TUBA1A	AllGene
TUBB2A	AllGene
TUBB2B	AllGene
TXN	AllGene
UBE2D2	AllGene
USP12	AllGene
USP14	AllGene
VAT1L	AllGene
VHL	AllGene
VSTM2B	AllGene
WDR17	AllGene
WDR31	AllGene
WNT16	AllGene
ZCCHC12	AllGene
ZCCHC17	AllGene
ZDHHC12	AllGene
ZNF626	AllGene
ZNF69	AllGene
AARS	AllGene
ABCF2	AllGene
ABT1	AllGene
ACAN	AllGene
ACTR1B	AllGene
ACVR1C	AllGene
ADAM9	AllGene
ADAMTSL1	AllGene
ADCY9	AllGene
AFTPH	AllGene
ALDH1A3	AllGene
ANK1	AllGene
ANKH	AllGene
ANKRD9	AllGene
ANKS6	AllGene
ARG2	AllGene
ARHGAP39	AllGene
ARID5B	AllGene
ATG16L1	AllGene
AVPI1	AllGene
BAG5	AllGene
BEND6	AllGene
BID	AllGene
BMP4	AllGene
C18orf25	AllGene
C2orf42	AllGene
C3orf18	AllGene
C4orf33	AllGene
C6orf47	AllGene
C9orf72	AllGene
CAMK2G	AllGene
CARS	AllGene
CCDC136	AllGene
CCDC40	AllGene
CCR10	AllGene
CD274	AllGene
CDON	AllGene
CERK	AllGene
CLEC16A	AllGene
CNBD2	AllGene
COL5A1	AllGene
CRHR2	AllGene
CYB5R4	AllGene
DCAF1	AllGene
DCLRE1A	AllGene
DCP1A	AllGene
DCPS	AllGene
DEXI	AllGene
DGCR14	AllGene
DKK1	AllGene
DNAJC16	AllGene
DTX3	AllGene
DUSP5	AllGene
EMILIN3	AllGene
EPRS	AllGene
ERRFI1	AllGene
ESRRA	AllGene
ESRRG	AllGene
ETV6	AllGene
FAF1	AllGene
FAM156B	AllGene
FAM43A	AllGene
FAM83D	AllGene
FASTKD5	AllGene
FBLN7	AllGene
FBXO31	AllGene
FBXO42	AllGene
FES	AllGene
FHDC1	AllGene
FMN1	AllGene
FNDC4	AllGene
FOXO3	AllGene
FRAT1	AllGene
GFER	AllGene
GLCCI1	AllGene
GLIPR1	AllGene
GOSR1	AllGene
GPR161	AllGene
GREB1	AllGene
HDAC4	AllGene
HERPUD1	AllGene
HINFP	AllGene
HIST1H3A	AllGene
HIST1H3D	AllGene
IER5	AllGene
IFFO2	AllGene
IFNLR1	AllGene
IL15RA	AllGene
INPP5A	AllGene
IPO7	AllGene
IRS1	AllGene
JADE1	AllGene
JAK1	AllGene
JARID2	AllGene
JDP2	AllGene
JMJD6	AllGene
KCNAB3	AllGene
KCNC3	AllGene
KCNJ11	AllGene
KCNT1	AllGene
KDM5C	AllGene
KLF9	AllGene
KLHL17	AllGene
LACE1	AllGene
LRRC59	AllGene
LURAP1L	AllGene
LUZP1	AllGene
MAFB	AllGene
MAGI3	AllGene
MAP4K2	AllGene
MFHAS1	AllGene
MGST2	AllGene
MIOS	AllGene
MPP1	AllGene
MRGBP	AllGene
MSL2	AllGene
MTCL1	AllGene
MXD1	AllGene
NCOA3	AllGene
NEXN	AllGene
NKX3-1	AllGene
NPPC	AllGene
NR2F6	AllGene
NR3C1	AllGene
NR3C2	AllGene
NRBP1	AllGene
NT5M	AllGene
NUP153	AllGene
OSBPL6	AllGene
OXA1L	AllGene
PANX2	AllGene
PAPD7	AllGene
PDIK1L	AllGene
PELI3	AllGene
PHF8	AllGene
PHKG2	AllGene
PIK3CA	AllGene
PIK3R3	AllGene
PIM1	AllGene
PKD1	AllGene
PLXDC1	AllGene
PPL	AllGene
PPTC7	AllGene
PRDM11	AllGene
PVALB	AllGene
PXYLP1	AllGene
RAB37	AllGene
RCN3	AllGene
RET	AllGene
RGPD4	AllGene
RNF111	AllGene
RNF133	AllGene
RNF168	AllGene
RNF4	AllGene
RORA	AllGene
RP11-298A10.1	AllGene
RPA1	AllGene
SCN1B	AllGene
SCRT1	AllGene
SCRT2	AllGene
SEMA6D	AllGene
SEMA7A	AllGene
SESN2	AllGene
SETD7	AllGene
SHD	AllGene
SIX4	AllGene
SKIDA1	AllGene
SLC19A2	AllGene
SLC25A25	AllGene
SLC25A37	AllGene
SLC25A5	AllGene
SLC35A4	AllGene
SLC38A1	AllGene
SLC38A2	AllGene
SLC39A14	AllGene
SLC45A4	AllGene
SLC4A8	AllGene
SMCR8	AllGene
SMG9	AllGene
SNRK	AllGene
SORL1	AllGene
SPAG1	AllGene
SRPRA	AllGene
SRXN1	AllGene
STAC2	AllGene
STAMBPL1	AllGene
STARD5	AllGene
STAT4	AllGene
STC2	AllGene
STK11	AllGene
STK26	AllGene
STK38L	AllGene
STRADA	AllGene
STS	AllGene
STX5	AllGene
SUPT16H	AllGene
TADA2B	AllGene
TBC1D8	AllGene
TCAF2	AllGene
TDP2	AllGene
