Gene	Direction
LACE1	Stable
LRRC59	Adult
LURAP1L	Stable
LUZP1	Adult
MAFB	Stable
MAGI3	Adult
MAP4K2	Adult
MFHAS1	Stable
MGST2	Stable
MIOS	Stable
MPP1	Adult
MRGBP	Adult
MSL2	Stable
MTCL1	Adult
MXD1	Stable
NCOA3	Stable
NEXN	Stable
NKX3-1	Stable
NPPC	Adult
NR2F6	Adult
NR3C1	Adult
NR3C2	Adult
NRBP1	Adult
NT5M	Adult
NUP153	Stable
OSBPL6	Adult
OXA1L	Stable
PANX2	Adult
PAPD7	Adult
PDIK1L	Adult
PELI3	Adult
PHF8	Stable
PHKG2	Adult
PIK3CA	Stable
PIK3R3	Stable
PIM1	Stable
PKD1	Adult
PLXDC1	Adult
PPL	Adult
PPTC7	Adult
PRDM11	Adult
PVALB	Adult
PXYLP1	Adult
RAB37	Adult
RCN3	Stable
RET	Adult
RGPD4	Adult
RNF111	Adult
RNF133	Adult
RNF168	Stable
RNF4	Stable
RORA	Stable
RP11-298A10.1	Stable
RPA1	Stable
SCN1B	Adult
SCRT1	Adult
SCRT2	Adult
SEMA6D	Adult
SEMA7A	Adult
SESN2	Stable
SETD7	Stable
SHD	Adult
SIX4	Stable
SKIDA1	Adult
SLC19A2	Stable
SLC25A25	Adult
SLC25A37	Stable
SLC25A5	Adult
SLC35A4	Stable
SLC38A1	Adult
SLC38A2	Stable
SLC39A14	Stable
SLC45A4	Adult
SLC4A8	Adult
SMCR8	Adult
SMG9	Stable
SNRK	Adult
SORL1	Adult
SPAG1	Stable
SRPRA	Adult
SRXN1	Adult
STAC2	Adult
STAMBPL1	Adult
STARD5	Adult
STAT4	Adult
STC2	Stable
STK11	Stable
STK26	Adult
STK38L	Stable
STRADA	Adult
STS	Adult
STX5	Stable
SUPT16H	Adult
TADA2B	Stable
TBC1D8	Adult
TCAF2	Stable
TDP2	Adult
TICAM1	Adult
TIGD3	Adult
TIGD5	Stable
TLE2	Adult
TMEM109	Stable
TMEM132E	Adult
TMEM200B	Adult
TMEM55A	Adult
TMEM81	Adult
TMOD1	Adult
TMPPE	Adult
TNIP1	Stable
TRAF7	Stable
TRIM25	Stable
TSC22D3	Stable
TTC39B	Adult
TTI1	Adult
UBAP1	Stable
UBE3B	Adult
UBXN10	Adult
UHRF1BP1	Stable
UPP1	Adult
USF2	Stable
USP28	Stable
USP45	Stable
VAMP1	Adult
WDR33	Stable
XKR6	Adult
ZADH2	Adult
ZBTB16	Stable
ZBTB21	Adult
ZBTB34	Stable
ZBTB38	Stable
ZBTB43	Stable
ZC3H7B	Adult
ZDHHC5	Adult
ZKSCAN5	Stable
ZNF304	Adult
ZNF324	Stable
ZNF398	Adult
ZNF574	Adult
ZNF597	Adult
ZNF641	Adult
ZNF740	Stable
ZNF805	Stable
ZNFX1	Stable
ZSWIM1	Adult
ZYX	Adult
