Gene	Direction
TNK1	Positive
TRIM7	Positive
TRPC3	Positive
TRPM3	Positive
TTC39B	Positive
TTI1	Positive
TUBA8	Positive
UBE3B	Positive
UBXN10	Positive
UHRF1BP1	Positive
UPP1	Positive
USF2	Positive
USP15	Positive
USP28	Positive
USP45	Positive
VAMP1	Positive
WDR76	Positive
WNT3	Positive
XKR6	Positive
ZADH2	Positive
ZBTB11	Positive
ZBTB16	Positive
ZBTB34	Positive
ZBTB38	Positive
ZC3H7B	Positive
ZFAT	Positive
ZKSCAN4	Positive
ZKSCAN5	Positive
ZNF398	Positive
ZNF41	Positive
ZNF487	Positive
ZNF597	Positive
ZNF641	Positive
ZNF740	Positive
ZYX	Positive
ACTG1	AllGene
AK7	AllGene
ARPP19	AllGene
CACNA1S	AllGene
CCDC112	AllGene
CCDC90B	AllGene
CERS4	AllGene
CHMP1A	AllGene
CPNE7	AllGene
CXorf57	AllGene
DPYD	AllGene
DPYSL3	AllGene
DSEL	AllGene
ENOX1	AllGene
EPN2	AllGene
ETNK2	AllGene
FABP5	AllGene
FAM65B	AllGene
FARP1	AllGene
FIBCD1	AllGene
FILIP1	AllGene
GABRA5	AllGene
GABRQ	AllGene
GALNT10	AllGene
GLT8D2	AllGene
GNAO1	AllGene
GNB4	AllGene
GNG10	AllGene
GPR160	AllGene
GRM3	AllGene
HINT3	AllGene
IL1RAPL2	AllGene
ISOC1	AllGene
KCNK13	AllGene
KIRREL2	AllGene
L3MBTL4	AllGene
LAMA1	AllGene
LINC01420	AllGene
LRRC3	AllGene
MAPK3	AllGene
MARCKS	AllGene
MFSD14A	AllGene
MMD	AllGene
NCAM2	AllGene
NCAN	AllGene
NELFE	AllGene
NKAIN4	AllGene
NMNAT1	AllGene
NPHS1	AllGene
NPY	AllGene
NPY1R	AllGene
NRAS	AllGene
PCED1B	AllGene
PCYT1B	AllGene
PDGFC	AllGene
PEA15	AllGene
PGRMC1	AllGene
PHACTR3	AllGene
PLPPR3	AllGene
PRMT2	AllGene
PROKR2	AllGene
PTPRA	AllGene
RAB40B	AllGene
RASAL1	AllGene
RFK	AllGene
RILPL1	AllGene
RSPO3	AllGene
RSU1	AllGene
SCD5	AllGene
SCN9A	AllGene
SDC3	AllGene
SDK2	AllGene
SH3RF1	AllGene
SLC39A6	AllGene
SOX11	AllGene
SQLE	AllGene
STX12	AllGene
SYNJ2BP	AllGene
SYT17	AllGene
TAF9B	AllGene
TBCA	AllGene
TIMP2	AllGene
TKFC	AllGene
TMEFF1	AllGene
TMEFF2	AllGene
TMSB10	AllGene
TPM3	AllGene
TRABD2A	AllGene
TUBA1A	AllGene
TUBB	AllGene
TUBB2A	AllGene
TUBB2B	AllGene
UBE2D2	AllGene
WNT16	AllGene
WRB	AllGene
ABCB9	AllGene
ABCF2	AllGene
ACAN	AllGene
ACTR1B	AllGene
ACVR1C	AllGene
ADAMTS5	AllGene
ADCY9	AllGene
ALDH1A3	AllGene
ANK1	AllGene
ANKH	AllGene
ANKRD62	AllGene
ANKRD9	AllGene
AP5M1	AllGene
ARG2	AllGene
ARHGEF10L	AllGene
ARHGEF11	AllGene
ARL5B	AllGene
ARMC9	AllGene
ARNTL	AllGene
ATP5A1	AllGene
AVPI1	AllGene
BAG5	AllGene
BEND6	AllGene
BID	AllGene
BMP4	AllGene
BMS1	AllGene
C16orf52	AllGene
C17orf107	AllGene
