Gene	Clusters
SLC7A6	Stable
SMCR8	Adult
SNRK	Adult
SORL1	Adult
SPAG1	Stable
SPIRE1	Stable
SPTSSB	Adult
SRXN1	Stable
STARD5	Stable
STK11	Stable
STK26	Adult
STS	Adult
SUPV3L1	Adult
SYCP2	Stable
SYT12	Adult
SYT2	Adult
TACR1	Adult
TADA2B	Stable
TBC1D16	Stable
TBC1D4	Adult
TCAF2	Stable
TDP2	Stable
TIGD5	Stable
TMEM132E	Adult
TMEM200B	Stable
TMEM25	Adult
TMEM81	Stable
TMPPE	Adult
TNIP1	Stable
TNK1	Adult
TRIM7	Stable
TRPC3	Adult
TRPM3	Stable
TTC39B	Adult
TTI1	Adult
TUBA8	Adult
UBE3B	Adult
UBXN10	Adult
UHRF1BP1	Stable
UPP1	Stable
USF2	Stable
USP15	Adult
USP28	Stable
USP45	Stable
VAMP1	Adult
WDR76	Stable
WNT3	Adult
XKR6	Adult
ZADH2	Adult
ZBTB11	Stable
ZBTB16	Stable
ZBTB34	Stable
ZBTB38	Stable
ZC3H7B	Adult
ZFAT	Stable
ZKSCAN4	Stable
ZKSCAN5	Stable
ZNF398	Adult
ZNF41	Adult
ZNF487	Stable
ZNF597	Adult
ZNF641	Stable
ZNF740	Stable
ZYX	Adult
